monotonic_ns,phase,taskbeat,motion_heartbeat,motion_type,interp_state,exec_state,x_cmd
583133102798,P0-ready,116,517,0,1,2,0.0
583133111013,P1-fast-idle,116,517,0,1,2,0.0
583133299215,P1-fast-idle,116,517,0,1,2,0.0
583133471026,P1-fast-idle,116,517,0,1,2,0.0
583133637217,P1-fast-idle,116,517,0,1,2,0.0
583133803939,P1-fast-idle,116,517,0,1,2,0.0
583133975059,P1-fast-idle,117,518,0,1,2,0.0
583134189490,P1-fast-idle,117,518,0,1,2,0.0
583134357845,P1-fast-idle,117,518,0,1,2,0.0
583134529786,P1-fast-idle,117,518,0,1,2,0.0
583134695285,P1-fast-idle,117,518,0,1,2,0.0
583134860975,P1-fast-idle,117,518,0,1,2,0.0
583135022728,P1-fast-idle,118,519,0,1,2,0.0
583135189059,P1-fast-idle,118,519,0,1,2,0.0
583135356402,P1-fast-idle,118,519,0,1,2,0.0
583135522803,P1-fast-idle,118,519,0,1,2,0.0
583135687491,P1-fast-idle,118,519,0,1,2,0.0
583135852630,P1-fast-idle,118,519,0,1,2,0.0
583136019201,P1-fast-idle,119,520,0,1,2,0.0
583136184650,P1-fast-idle,119,520,0,1,2,0.0
583136351182,P1-fast-idle,119,520,0,1,2,0.0
583136517042,P1-fast-idle,119,520,0,1,2,0.0
583136686268,P1-fast-idle,119,520,0,1,2,0.0
583136851688,P1-fast-idle,119,520,0,1,2,0.0
583137018670,P1-fast-idle,119,520,0,1,2,0.0
583137184831,P1-fast-idle,120,521,0,1,2,0.0
583137351613,P1-fast-idle,120,521,0,1,2,0.0
583137517904,P1-fast-idle,120,521,0,1,2,0.0
583137682932,P1-fast-idle,120,521,0,1,2,0.0
583137847660,P1-fast-idle,120,521,0,1,2,0.0
583138031824,P1-fast-idle,120,521,0,1,2,0.0
583138198697,P1-fast-idle,121,522,0,1,2,0.0
583138365278,P1-fast-idle,121,522,0,1,2,0.0
583138531499,P1-fast-idle,121,522,0,1,2,0.0
583138696387,P1-fast-idle,121,522,0,1,2,0.0
583138861135,P1-fast-idle,121,522,0,1,2,0.0
583139031634,P1-fast-idle,121,522,0,1,2,0.0
583139200079,P1-fast-idle,122,523,0,1,2,0.0
583139366620,P1-fast-idle,122,523,0,1,2,0.0
583139537119,P1-fast-idle,122,523,0,1,2,0.0
583139702238,P1-fast-idle,122,523,0,1,2,0.0
583139930395,P1-fast-idle,122,523,0,1,2,0.0
583140130549,P1-fast-idle,122,523,0,1,2,0.0
583140306338,P1-fast-idle,123,524,0,1,2,0.0
583140479061,P1-fast-idle,123,524,0,1,2,0.0
583140648087,P1-fast-idle,123,524,0,1,2,0.0
583140817163,P1-fast-idle,123,524,0,1,2,0.0
583140985668,P1-fast-idle,123,524,0,1,2,0.0
583141155175,P1-fast-idle,123,524,0,1,2,0.0
583141325724,P1-fast-idle,124,526,0,1,2,0.0
583141494820,P1-fast-idle,124,526,0,1,2,0.0
583141663005,P1-fast-idle,124,526,0,1,2,0.0
583141831199,P1-fast-idle,124,526,0,1,2,0.0
583141999904,P1-fast-idle,124,526,0,1,2,0.0
583142167277,P1-fast-idle,124,526,0,1,2,0.0
583142334741,P1-fast-idle,124,526,0,1,2,0.0
583142521981,P1-fast-idle,125,527,0,1,2,0.0
583142694714,P1-fast-idle,125,527,0,1,2,0.0
583142866545,P1-fast-idle,125,527,0,1,2,0.0
583143037625,P1-fast-idle,125,527,0,1,2,0.0
583143208174,P1-fast-idle,125,527,0,1,2,0.0
583143383903,P1-fast-idle,125,527,0,1,2,0.0
583143555834,P1-fast-idle,126,528,0,1,2,0.0
583143726553,P1-fast-idle,126,528,0,1,2,0.0
583143896862,P1-fast-idle,126,528,0,1,2,0.0
583144074043,P1-fast-idle,126,528,0,1,2,0.0
583144245313,P1-fast-idle,126,528,0,1,2,0.0
583144416844,P1-fast-idle,126,528,0,1,2,0.0
583144588856,P1-fast-idle,127,529,0,1,2,0.0
583144759495,P1-fast-idle,127,529,0,1,2,0.0
583144929442,P1-fast-idle,127,529,0,1,2,0.0
583145100903,P1-fast-idle,127,529,0,1,2,0.0
583145271342,P1-fast-idle,127,529,0,1,2,0.0
583145443564,P1-fast-idle,127,529,0,1,2,0.0
583145615285,P1-fast-idle,128,530,0,1,2,0.0
583145785663,P1-fast-idle,128,530,0,1,2,0.0
583145955772,P1-fast-idle,128,530,0,1,2,0.0
583146131871,P1-fast-idle,128,530,0,1,2,0.0
583146311296,P1-fast-idle,128,530,0,1,2,0.0
583146485111,P1-fast-idle,128,530,0,1,2,0.0
583146656472,P1-fast-idle,128,530,0,1,2,0.0
583146831178,P1-fast-idle,129,531,0,1,2,0.0
583147004693,P1-fast-idle,129,531,0,1,2,0.0
583147175923,P1-fast-idle,129,531,0,1,2,0.0
583147347133,P1-fast-idle,129,531,0,1,2,0.0
583147518183,P1-fast-idle,129,531,0,1,2,0.0
