== fixture-after-attach ==
UTC 2026-09-09T04:22:13Z
-- comps --
Loaded HAL Components:
ID      Type  Name                                                    PID   State
    11  bit   OUT                 FALSE  hm2_test.0.gpio.023.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.023.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.023.out
    11  s32   OUT                   210  hm2_test.0.read.time
    11  s32   OUT                     0  hm2_test.0.read_gpio.time
    11  bit   I/O                 FALSE  hm2_test.0.watchdog.has_bit
    11  s32   OUT                   521  hm2_test.0.write.time
    11  s32   OUT                     0  hm2_test.0.write_gpio.time

Parameters:
Owner   Type  Dir                 Value  Name
    11  bit   RW                  FALSE  hm2_test.0.gpio.000.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.000.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.000.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.001.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.001.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.001.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.002.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.002.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.002.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.003.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.003.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.003.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.004.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.004.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.004.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.005.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.005.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.005.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.006.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.006.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.006.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.007.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.007.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.007.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.008.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.008.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.008.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.009.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.009.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.009.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.010.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.010.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.010.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.011.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.011.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.011.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.012.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.012.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.012.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.013.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.013.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.013.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.014.invert_output
