monotonic_ns,phase,taskbeat,motion_heartbeat,motion_type,interp_state,exec_state,x_cmd
1030835292121,P0-ready,125,306,0,1,2,0.0
1030835307754,P1-fast-idle,125,306,0,1,2,0.0
1030835478710,P1-fast-idle,125,306,0,1,2,0.0
1030835641711,P1-fast-idle,126,307,0,1,2,0.0
1030835802384,P1-fast-idle,126,307,0,1,2,0.0
1030835963895,P1-fast-idle,126,307,0,1,2,0.0
1030836125014,P1-fast-idle,126,307,0,1,2,0.0
1030836286033,P1-fast-idle,126,307,0,1,2,0.0
1030836440767,P1-fast-idle,126,307,0,1,2,0.0
1030836618245,P1-fast-idle,126,307,0,1,2,0.0
1030836785178,P1-fast-idle,127,308,0,1,2,0.0
1030836947927,P1-fast-idle,127,308,0,1,2,0.0
1030837121426,P1-fast-idle,127,308,0,1,2,0.0
1030837283887,P1-fast-idle,127,308,0,1,2,0.0
1030837446429,P1-fast-idle,127,308,0,1,2,0.0
1030837608688,P1-fast-idle,127,308,0,1,2,0.0
1030837771220,P1-fast-idle,128,309,0,1,2,0.0
1030837933334,P1-fast-idle,128,309,0,1,2,0.0
1030838096580,P1-fast-idle,128,309,0,1,2,0.0
1030838260326,P1-fast-idle,128,309,0,1,2,0.0
1030838421871,P1-fast-idle,128,309,0,1,2,0.0
1030838584077,P1-fast-idle,128,309,0,1,2,0.0
1030838749685,P1-fast-idle,128,309,0,1,2,0.0
1030838912796,P1-fast-idle,129,310,0,1,2,0.0
1030839075982,P1-fast-idle,129,310,0,1,2,0.0
1030839241046,P1-fast-idle,129,310,0,1,2,0.0
1030839402879,P1-fast-idle,129,310,0,1,2,0.0
1030839564652,P1-fast-idle,129,310,0,1,2,0.0
1030839727036,P1-fast-idle,129,310,0,1,2,0.0
1030839889447,P1-fast-idle,130,311,0,1,2,0.0
1030840051919,P1-fast-idle,130,311,0,1,2,0.0
1030840212218,P1-fast-idle,130,311,0,1,2,0.0
1030840372568,P1-fast-idle,130,311,0,1,2,0.0
1030840533600,P1-fast-idle,130,311,0,1,2,0.0
1030840684140,P1-fast-idle,130,311,0,1,2,0.0
1030840846989,P1-fast-idle,130,311,0,1,2,0.0
1030841016663,P1-fast-idle,131,312,0,1,2,0.0
1030841178639,P1-fast-idle,131,312,0,1,2,0.0
1030841340138,P1-fast-idle,131,312,0,1,2,0.0
1030841507359,P1-fast-idle,131,312,0,1,2,0.0
1030841668012,P1-fast-idle,131,312,0,1,2,0.0
1030841949822,P1-fast-idle,132,313,0,1,2,0.0
1030842113305,P1-fast-idle,132,313,0,1,2,0.0
1030842275149,P1-fast-idle,132,313,0,1,2,0.0
1030842427169,P1-fast-idle,132,313,0,1,2,0.0
1030842591249,P1-fast-idle,132,313,0,1,2,0.0
1030842752821,P1-fast-idle,132,313,0,1,2,0.0
1030842914794,P1-fast-idle,132,313,0,1,2,0.0
1030843077383,P1-fast-idle,133,314,0,1,2,0.0
1030843239737,P1-fast-idle,133,314,0,1,2,0.0
1030843400534,P1-fast-idle,133,314,0,1,2,0.0
1030843562513,P1-fast-idle,133,314,0,1,2,0.0
1030843725077,P1-fast-idle,133,314,0,1,2,0.0
1030843886490,P1-fast-idle,133,314,0,1,2,0.0
1030844060018,P1-fast-idle,134,315,0,1,2,0.0
1030844235282,P1-fast-idle,134,315,0,1,2,0.0
1030844397303,P1-fast-idle,134,315,0,1,2,0.0
1030844560849,P1-fast-idle,134,315,0,1,2,0.0
1030844723963,P1-fast-idle,134,315,0,1,2,0.0
1030844885785,P1-fast-idle,134,315,0,1,2,0.0
1030845047890,P1-fast-idle,134,315,0,1,2,0.0
1030845213038,P1-fast-idle,135,316,0,1,2,0.0
1030845375272,P1-fast-idle,135,316,0,1,2,0.0
1030845537739,P1-fast-idle,135,316,0,1,2,0.0
1030845700019,P1-fast-idle,135,316,0,1,2,0.0
1030845862155,P1-fast-idle,135,316,0,1,2,0.0
1030846026167,P1-fast-idle,135,316,0,1,2,0.0
1030846192808,P1-fast-idle,136,317,0,1,2,0.0
1030846354701,P1-fast-idle,136,317,0,1,2,0.0
1030846516704,P1-fast-idle,136,317,0,1,2,0.0
1030846677879,P1-fast-idle,136,317,0,1,2,0.0
1030846839720,P1-fast-idle,136,317,0,1,2,0.0
1030847026143,P1-fast-idle,136,317,0,1,2,0.0
1030847189049,P1-fast-idle,136,317,0,1,2,0.0
1030847352178,P1-fast-idle,137,318,0,1,2,0.0
1030847515294,P1-fast-idle,137,318,0,1,2,0.0
1030847677885,P1-fast-idle,137,318,0,1,2,0.0
1030847841827,P1-fast-idle,137,318,0,1,2,0.0
1030848013743,P1-fast-idle,137,318,0,1,2,0.0
1030848178846,P1-fast-idle,137,318,0,1,2,0.0
1030848340622,P1-fast-idle,138,319,0,1,2,0.0
1030848504077,P1-fast-idle,138,319,0,1,2,0.0
1030848666943,P1-fast-idle,138,319,0,1,2,0.0
1030848828694,P1-fast-idle,138,319,0,1,2,0.0
1030848991415,P1-fast-idle,138,319,0,1,2,0.0
1030849154252,P1-fast-idle,138,319,0,1,2,0.0
1030849315601,P1-fast-idle,138,319,0,1,2,0.0
1030849477566,P1-fast-idle,139,320,0,1,2,0.0
1030849638726,P1-fast-idle,139,320,0,1,2,0.0
1030849800030,P1-fast-idle,139,320,0,1,2,0.0
1030849960720,P1-fast-idle,139,320,0,1,2,0.0
1030850122112,P1-fast-idle,139,320,0,1,2,0.0
1030850283047,P1-fast-idle,139,320,0,1,2,0.0
1030850445553,P1-fast-idle,140,321,0,1,2,0.0
1030850606959,P1-fast-idle,140,321,0,1,2,0.0
1030850750560,P1-fast-idle,140,321,0,1,2,0.0
1030850916886,P1-fast-idle,140,321,0,1,2,0.0
1030851077742,P1-fast-idle,140,321,0,1,2,0.0
1030851239171,P1-fast-idle,140,321,0,1,2,0.0
1030851406017,P1-fast-idle,140,321,0,1,2,0.0
1030851572199,P1-fast-idle,141,323,0,1,2,0.0
1030851735504,P1-fast-idle,141,323,0,1,2,0.0
1030851899055,P1-fast-idle,141,323,0,1,2,0.0
